Reference, Value, Footprint, Datasheet, Mouser
"J1","Floppy-header","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical",""
"U4","74LS245","Package_SO:SO-20_5.3x12.6mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS245","595-SN74LS245NS "
"U9","WD2793","Package_DIP:DIP-40_W15.24mm_Socket",""
"U8","WD1771","Package_DIP:DIP-40_W15.24mm_Socket",""
"U3","74LS640","Package_SO:SO-20_5.3x12.6mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS245","595-SN74LS640NSR "
"R4","10K","Resistor_SMD:R_0805_2012Metric","~"
"U18","74LS06","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS06","595-SN74LS06D "
"U15","74LS157","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS157","595-SN74HCT157D "
"R8","10K","Resistor_SMD:R_0805_2012Metric","~"
"U13","ATF22V10C","Package_DIP:DIP-24_W7.62mm_Socket",""
"U19","74LS06","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS06","595-SN74LS06D "
"U10","74LS123","Package_SO:SO-16_5.3x10.2mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS123","595-SN74LS123NSR"
"U14","74LS175","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS175","595-CD74HCT175M "
"JP10","SIDE","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"U30","74LS273","Package_SO:SO-20_5.3x12.6mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS273","595-SN74LS273NSR "
"R37","4K7","Resistor_SMD:R_0805_2012Metric","~"
"R36","20K","Resistor_SMD:R_0805_2012Metric","~"
"C45","200p","Capacitor_SMD:C_0805_2012Metric","~"
"R38","4K7","Resistor_SMD:R_0805_2012Metric","~"
"U26","74LS244","Package_SO:SO-20_5.3x12.6mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf","595-SN74HCT244NSR "
"J6","Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"R3","200K","Resistor_SMD:R_0805_2012Metric","~"
"R35","10K","Resistor_SMD:R_0805_2012Metric","~"
"U12","74LS02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls02","595-SN74HCT02DR "
"R1","10K","Resistor_SMD:R_0805_2012Metric","~"
"R6","10K","Resistor_SMD:R_0805_2012Metric","~"
"R5","10K","Resistor_SMD:R_0805_2012Metric","~"
"RV1","50K","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~"
"RV2","10K","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~"
"D1","DIODE","Diode_SMD:D_0805_2012Metric","~"
"C7","150nF","Capacitor_SMD:C_0805_2012Metric","~"
"R7","1K","Resistor_SMD:R_0805_2012Metric","~"
"JP1","TEST","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C4","15pF","Capacitor_SMD:C_0805_2012Metric","~"
"C5","15pF","Capacitor_SMD:C_0805_2012Metric","~"
"C6","15pF","Capacitor_SMD:C_0805_2012Metric","~"
"U11","74LS00","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls00","595-SN74HCT00DE4 "
"U5","74LS02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls02","595-SN74HCT02DR "
"U6","74LS32","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32","595-SN74HCT32D"
"U7","74LS00","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls00","595-SN74HCT00DE4 "
"U20","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf","863-MC74HCT74ADR2G "
"R11","10K","Resistor_SMD:R_0805_2012Metric","~"
"U17","74LS32","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf","595-SN74HCT32D"
"C18","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C13","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C14","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C15","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C16","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C17","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C20","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C19","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C21","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"J4","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"J3","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"M4","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M3","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M2","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M1","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"J2","TRS80W-header","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
